"Well";"ID";"Date";"Cytometer_run";"Bacteria_AB_mL";"Algal_AB_mL";"Dry_weight_g";"Total_Vol_ml";"Total_Bacteria_AB_g";"Total_Algae_AB_g"
"158";" A02";"35";" 06.20.2022";"8";913000;225000;0.062;4;117806451.612903;29032258.0645161
"159";" A03";"137";" 06.20.2022";"8";124000;463000;0.04;4;24800000;92600000
"160";" A04";"135";" 06.20.2022";"8";106000;245000;0.043;4;19720930.2325581;45581395.3488372
"161";" A05";"216";" 06.20.2022";"8";717000;361000;0.049;4;117061224.489796;58938775.5102041
"162";" A06";"58";" 06.20.2022";"8";355000;335000;0.024;4;118333333.333333;111666666.666667
"163";" A07";"174";" 06.20.2022";"8";614000;252000;0.085;4;57788235.2941176;23717647.0588235
"164";" A08";"132";" 06.20.2022";"8";419000;349000;0.027;4;124148148.148148;103407407.407407
"165";" A09";"59";" 06.20.2022";"8";372000;789000;0.033;4;90181818.1818182;191272727.272727
"166";" A10";"218";" 06.20.2022";"8";158000;392000;0.088;4;14363636.3636364;35636363.6363636
"167";" A11";"60";" 06.20.2022";"8";571000;260000;0.078;4;58564102.5641026;26666666.6666667
"168";" A12";"131";" 06.20.2022";"8";736000;251000;0.045;4;130844444.444444;44622222.2222222
"169";" B01";"133";" 06.20.2022";"8";93300;248000;0.032;4;23325000;6.2e+07
"170";" B02";"219";" 06.20.2022";"8";279000;124000;0.019;4;117473684.210526;52210526.3157895
"171";" B03";"220";" 06.20.2022";"8";168000;161000;0.028;4;4.8e+07;4.6e+07
"172";" B04";"57";" 06.20.2022";"8";558000;193000;0.068;4;65647058.8235294;22705882.3529412
"173";" B05";"61";" 06.20.2022";"8";433000;73300;0.067;4;51701492.5373134;8752238.80597015
"174";" B06";"136";" 06.20.2022";"8";101000;675000;0.053;4;15245283.0188679;101886792.45283
"175";" B07";"138";" 06.20.2022";"8";121000;437000;0.06;4;16133333.3333333;58266666.6666667
"176";" B08";"217";" 06.20.2022";"8";388000;180000;0.037;4;83891891.8918919;38918918.9189189
"177";" B09";"172";" 06.20.2022";"8";230000;172000;0.041;4;44878048.7804878;33560975.6097561
"178";" B10";"173";" 06.20.2022";"8";623000;432000;0.109;4;45724770.6422018;31706422.0183486
"179";" B11";"134";" 06.20.2022";"8";113000;745000;0.054;4;16740740.7407407;110370370.37037
